geo,name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
per,Peru,,48.11,52.14,51.29,55.19,56.13,58.92,58.25,57.83,58.66,55.77,57.01,57.11,56.8,59.99,49.94,56.94,58.92,59.36
phl,Philippines,,46.7,50.74,45.89,48.8,49.42,49.94,50.02,49.77,53.13,55.47,54.31,55.94,58.69,62.68,50.8,59.65,59.95,61.84
pol,Poland,55.87,,58.86,,57.72,58.87,56.46,58.76,57.46,57.5,60.07,61.62,62.01,61.11,62.42,61.39,59.78,66.66,66.85
prt,Portugal,,54.05,,57.17,,50.95,52.2,49.94,51.58,51.27,50.81,54.47,57.11,59.2,60.95,57.68,61.83,59.53,59.54
pry,Paraguay,,47.3,52.72,55.7,55.76,58.41,56.77,58.2,59.36,51.19,55.6,58.01,57.13,,56.53,55.01,55.76,61.38,62.14
pse,Palestine,,47.16,41.51,43.86,44.7,47.03,47.51,46.47,48.44,47.22,46.95,49.07,46.28,45.54,44.83,,,49.08,48.51
qat,Qatar,,,,,64.18,68.5,65.92,66.11,,,63.75,,,,,,,,
rou,Romania,50.49,,53.94,,53.68,49.09,50.23,51.67,50.82,57.27,57.77,59.69,60.9,61.51,61.3,67.85,65.49,64.37,64.89
rus,Russia,,49.64,52.23,56.19,51.58,53.85,53.89,56.21,55.37,60.37,59.96,58.55,55.79,55.14,54.41,54.95,54.48,60.44,58.65
rwa,Rwanda,,42.15,,43.63,40.3,,40.97,33.33,34.66,35.96,34.83,33.33,31.08,35.61,32.68,,,,
sau,Saudi Arabia,70.8,,72.67,68.11,61.48,63.07,67,63.96,64.95,62.78,63.45,64.74,62.94,63.56,65.61,65.6,64.45,63.82,69.53
sdn,Sudan,,,,,44.55,44.35,43.14,45.5,,41.39,,,,,,,,,
sen,Senegal,,44.17,46.8,46.83,43.35,43.72,38.34,36.69,36.47,43.95,46.17,45.95,46.83,47.69,54.89,47.57,49.03,49.07,50.93
sgp,Singapore,,64.63,68.34,66.42,61.45,65.31,65.61,,65.33,70.62,66.2,60.33,63.78,63.75,63.78,,65.87,63.33,66.54
sle,Sierra Leone,,36.28,35.85,29.97,,41.34,45.02,,45.14,45,49.09,47.33,40.9,43.06,34.47,,37.14,25.6,34.67
slv,El Salvador,,57.01,52.96,51.91,68.39,67.4,47.41,59.34,63.25,58.57,60.18,61.4,63.39,62.41,64.55,54.62,64.31,64.92,64.82
som,Somalia,,,,,,,,,,55.28,53.54,46.68,,,,,,,
srb,Serbia,,,47.5,,43.8,44.61,48.15,51.55,51.02,51.13,53.18,57.53,51.22,59.36,62.41,60.42,62.45,65.46,64.41
ssd,South Sudan,,,,,,,,,,38.32,40.71,28.88,28.17,,,,,,
sur,Suriname,,,,,,,,62.69,,,,,,,,,,,
svk,Slovak Republic,,52.65,,,,60.52,59.45,59.11,59.37,61.39,61.62,59.93,63.66,62.35,62.43,65.19,64.19,60.91,62.61
svn,Slovenia,,58.11,,,58.3,60.83,60.36,60.63,59.75,56.78,57.41,59.37,61.67,62.49,66.65,64.62,67.61,67.23,67.46
swe,Sweden,73.76,,72.41,75.16,72.66,74.96,73.82,75.6,74.34,72.39,72.89,73.69,72.87,73.75,73.98,73.14,74.39,74.31,71.61
swz,Eswatini,,,,,,,48.67,,,,,,,42.12,43.96,,,35.02,
syr,Syria,,,,53.23,49.79,44.65,40.38,31.64,26.88,,34.62,,,,,,,,
tcd,Chad,,34.35,41.41,46.32,36.39,37.43,43.93,40.33,35.08,34.6,43.23,40.29,45.59,44.86,42.51,,,43.97,45.44
